Total_Kicking_PTS,Total_defensive_PTS,Total_Offensive_PTS,pos,player,rank,id,team,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts,tkl_solo,tkl_astd,tkl_loss,def_sck_yds,qb_hits,pass_def,def_td,fg,fg_att,fg_pct,fg_long,xp,xp_att,PassingYards_PTS,RushingYards_PTS,ReceivingYards_PTS,ReceivingYards_and_Rushing_Yards_SpecialRoundingCase,ReceivingTouchdowns_PTS,PassingTouchdowns_PTS,RushingTouchdowns_PTS,Fumbles_Lost_PTS,Interception_Offensive_PTS,AssistedTackles_PTS,SoloTackles_PTS,PassesDefended_PTS,Sacks_PTS + Assisted Sacks_PTS,Safeties_PTS,Interception_Defensive_PTS,SpecialTeamsTouchdowns_PTS,FumblesForced_PTS,FumblesRecovered,FumblesRecovered_PTS,ExtraPointsMade_PTS,FieldGoalsMade_PTS
,,2,QB,Aaron Rodgers,453,2593,PIT,13,BUF,117.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2.7,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,13.0,QB,Baker Mayfield,47,19790,TB,13,ARI,194.0,1.0,0.0,27.0,0.0,0,0.0,0.0,0,0.0,0.0,0,14.5,,,,,,,,,,,,,,7.0,2.0,0.0,2.0,0.0,4.0,0.0,0,-0.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,16.0,QB,Brock Purdy,34,23241,SF,13,CLE,168.0,1.0,0.0,4.0,1.0,0,0.0,0.0,0,0.0,0.0,0,17.1,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0,-0.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,22.0,QB,Bryce Young,6,23132,CAR,13,LAR,206.0,3.0,0.0,23.0,0.0,0,0.0,0.0,0,0.0,0.0,0,22.5,,,,,,,,,,,,,,8.0,2.0,0.0,2.0,0.0,12.0,0.0,0,-0.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,9.0,QB,C.J. Stroud,128,23239,HOU,13,IND,276.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9.0,,,,,,,,,,,,,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,5.0,QB,Cam Ward,234,25323,TEN,13,JAX,141.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0,0.0,0.0,0,6.3,,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,16.0,QB,Daniel Jones,40,20841,IND,13,HOU,201.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,16.1,,,,,,,,,,,,,,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0,-0.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,0.0,QB,Dillon Gabriel,841,23177,CLE,13,SF,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,12.0,QB,Geno Smith,69,14895,LV,13,LAC,165.0,2.0,1.0,-6.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.0,,,,,,,,,,,,,,6.0,-1.0,0.0,0.0,0.0,8.0,0.0,0,-2.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,19.0,QB,Jacoby Brissett,19,18018,ARI,13,TB,301.0,2.0,1.0,16.0,0.0,0,0.0,0.0,0,0.0,0.0,0,19.6,,,,,,,,,,,,,,12.0,1.0,0.0,1.0,0.0,8.0,0.0,0,-2.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,15.0,QB,Josh Allen,35,19801,BUF,13,PIT,123.0,1.0,1.0,38.0,1.0,0,0.0,0.0,0,0.0,0.0,0,16.7,,,,,,,,,,,,,,4.0,3.0,0.0,3.0,0.0,4.0,6.0,0,-2.0,,,,0,0,0.0,,0.0,0.0,0.0,,
,,12.0,QB,Justin Herbert,66,21681,LAC,13,LV,151.0,2.0,1.0,8.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.8,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0,-2.0,,,,0,0,0.0,,0.0,0.0,0.0,,
